Date,gu,dong,Actual,Predicted
2011-06-06,23,88,43000,39138.20504467805
2013-11-21,23,158,25500,28183.3744232677
2009-12-12,23,250,27900,27276.527077219856
2014-02-25,23,83,20500,20937.907607944533
2020-02-01,23,158,35500,36209.032454866174
2014-08-19,23,158,32970,32389.70126854956
2017-09-09,23,158,31200,29253.20629176833
2015-02-24,23,130,32900,32615.6823341081
2012-06-01,23,158,30000,26964.855179737544
2018-03-14,23,158,38000,39773.72959873259
2018-05-10,23,85,37200,35903.959114959114
2006-10-13,23,130,24400,23671.870787059084
2016-01-30,23,158,30900,31741.874843422815
2011-03-19,23,85,31500,34172.10095156662
2019-02-15,23,85,50000,56159.6831712916
2006-09-20,23,158,9500,9558.585513542585
2020-07-04,23,158,64000,61292.51435927908
2020-09-16,23,85,41900,38673.0826394077
2007-04-10,23,130,16250,15940.238797064178
2016-06-10,23,158,32600,35836.2987611516
2020-07-31,23,88,98000,93594.05218025908
2013-12-25,23,88,23600,24384.588026626803
2018-08-14,23,158,32000,40237.88090788766
2017-06-16,23,85,21800,22941.926271116692
2019-12-14,23,85,22300,23472.24700498623
2015-10-08,23,83,34800,35903.04389971509
2016-03-04,23,85,19500,20143.600524848753
2006-11-26,23,85,29900,27263.174992216947
2020-05-30,23,85,60000,60132.418421363844
2021-08-06,23,158,60000,68853.84227194403
2019-08-24,23,158,63000,58752.53898879514
2008-02-16,23,158,25700,25800.382980804494
2019-05-25,23,88,64000,65743.37373737374
2013-12-30,23,83,48582,51376.194537336225
2010-03-11,23,88,38000,33793.44450398422
2018-03-13,23,88,53000,52063.014282500255
2020-06-25,23,158,55800,56374.08387751754
2021-08-04,23,158,47000,49826.39857223878
2016-12-05,23,158,43500,42591.13676739564
2019-09-02,23,158,34000,34674.81018518519
2006-10-30,23,130,21800,22444.026792447206
2014-09-30,23,158,38400,40483.89205090892
2007-07-31,23,88,65000,65257.197260624685
2012-03-05,23,250,28000,29439.41594046134
2020-04-14,23,158,43000,38675.9972541507
2016-02-03,23,130,10500,11785.354057576851
2015-09-30,23,158,21602,23706.433132902974
2006-10-30,23,88,23000,21110.699110384565
2013-04-20,23,85,22000,23031.80193978251
2022-01-10,23,85,42000,48068.0
